Crop,Variety,Description,S_b_temp,S_t_time,Opt_temp,G_b_temp,G_t_time,Max_temp,F_b_temp,F_t_time,Sensitivity,R_growth,S_l_area,Index_green,Extinction,Radiation,Root_growth,S_crop,Index_n,Slope,Potential,Nitrogen,S_storage,S_htemp
Sorghum,CSH 17,,8,105,34,8,1230,40,8,750,1,0.004,0.0032,1,0.64,4,15,1,1,65000,28,0.02,1,1
Sorghum,CSV 13,,8,115,34,8,1450,40,8,720,1,0.004,0.0032,1,0.64,4,15,1,1,65000,28,0.02,1,1
Rice,Pusa Sughandh-5,Aromatic Inbred Rice,7.6,72,30,10,1524,42,10,575,1,0.009,0.0024,0.9,0.5,2.3,12,1,1,50000,23,0.013,1,1
Maize,Bio 9637,,10,80,30,10,900,40,10,625,1,0.006,0.0015,1,0.6,3.26,30,1,1,8500,165,0.015,1,1
Maize,X 3352,,10,80,30,10,825,40,10,560,1,0.006,0.0015,1,0.6,3.26,30,1,1,8500,165,0.015,1,1
Maize,Him-129,,10,70,30,10,780,40,10,650,1,0.006,0.0015,1,0.6,3.26,30,1,1,8500,165,0.015,1,1
PearlMillet,Default,Most commonly grown variety of Millet growing region,10,73,33,10,870,40,10,610,1,0.0011,0.0036,1,0.6,3.8,20,1,1,85000,12,0.02,1,1
PearlMillet,MLBH 104,,10,71,33,10,710,40,10,650,1,0.0011,0.0039,1,0.6,3.85,20,1,1,75000,12,0.02,1,1
PearlMillet,HHB 67,,10,78,33,10,700,40,10,610,1,0.0011,0.0036,1,0.6,3.8,20,1,1,75000,12,0.02,1,1
PearlMillet,ICMH 451,,10,74,33,10,800,40,10,610,1,0.0011,0.0038,1,0.6,3.9,20,1,1,75000,12,0.02,1,1
PearlMillet,ICMH 352,,10,76,33,10,870,40,10,590,1,0.0011,0.0036,1,0.6,3.8,20,1,1,75000,12,0.02,1,1
PearlMillet,PUSA 23,,10,74,33,10,850,40,10,670,1,0.0011,0.0036,1,0.6,3.8,20,1,1,75000,12,0.02,1,1
Mustard,Default,Most commonly grown variety of Mustard growing region,5,110,24,5,840,40,5,1150,1,0.008,0.0022,1,0.6,3.62,35,1,1,3000000,8,0.039,1,1
Mustard,Pusa bold,,5,100,24,5,760,40,5,1050,1,0.008,0.002,1,0.6,2,35,1,1,3000000,8,0.039,1,1
Mustard,Varuna,,5,110,24,5,760,40,5,990,1,0.008,0.002,1,0.6,2.3,35,1,1,3000000,8,0.039,1,1
Mustard,Pusa jaikisan,,5,120,24,5,830,40,5,718,1,0.008,0.0022,1,0.6,2.3,35,1,1,3000000,8,0.039,1,1
Mustard,Pusa Kalyani,,5,100,24,5,900,40,5,850,1,0.008,0.0022,1,0.6,2.3,35,1,1,3000000,8,0.039,1,1
Mustard,RK 8,,5,90,24,5,1400,40,5,930,1,0.008,0.002,1,0.6,2.3,35,1,1,3000000,8,0.039,1,1
Mustard,BO 54,,5,100,24,5,1020,40,5,820,1,0.008,0.0022,1,0.6,2.3,35,1,1,3000000,8,0.039,1,1
Mustard,Rohini,,5,100,24,5,865,40,5,658,1,0.008,0.002,1,0.6,2.3,35,1,1,3000000,8,0.039,1,1
Mustard,Toria(T9),,5,55,24,5,475,40,5,900,1,0.008,0.002,1,0.6,2,35,1,1,3000000,8,0.039,1,1
Mustard,RH30,,5,90,24,5,780,40,5,1030,1,0.008,0.0022,1,0.6,3.62,35,1,1,3000000,8,0.039,1,1
Mustard,RH0749,,5,110,24,5,820,40,5,1100,1,0.008,0.0022,1,0.6,3.62,35,1,1,3000000,8,0.039,1,1
Pigeon Pea,BDN1,,10,134,32,10,1920,45,10,640,1,0.001,0.0016,1,0.7,1.85,16,1,1,12500,100,0.038,1,1
